Name,Year,Type,Notable Commanders,Warships_sunk_n_total_loss_No,Warships_sunk_n_total_loss_Tons-n-GRT,Warships_Damaged_No,Warships_Damaged_Tons-n-GRT,Merchant_Ships_sunk_No,Merchant_Ships_sunk_GRT,Merchant_Ships_damaged_No,Merchant_Ships_damaged_GRT,Merchant_Ships_total_loss_No,Merchant_Ships_total_loss_GRT,Fate_Event,Fate_Date,Notes,URL,Commissioned,Patrols,Wolfpacks,Flotilla
U-11,1935,IIB,"Hans-Rudolf Rösing,Viktor Schütze",0,0,0,0,0,0,0,0,0,0,Scuttled,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-11_(1935),1935-09-21,0,,"{'U-boat School Flotilla': ['1 September 1935 ', ' 1 August 1939'], '1st U-boat Flotilla': ['1 July ', ' 30 November 1940'], '21st U-boat Flotilla': ['1 December 1940 ', ' 1 May 1941'], '5th U-boat Flotilla': ['1 October 1941 ', ' 28 February 1943'], '22nd U-boat Flotilla': ['1 March 1943 ', ' 14 December 1944']}"
U-12,1935,IIB,,0,0,0,0,0,0,0,0,0,0,Sunk,8 October 1939,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-12_(1935),1935-09-30,2,,"{'3rd U-boat Flotilla': ['1 September 1935 ', ' 1 August 1939']}"
U-13,1935,IIB,"Hans-Gerrit von Stockhausen,Wolfgang Lüth",0,0,0,0,9,"28,056",3,"26,218",0,0,Sunk,31 May 1940,HMS Weston,https://en.wikipedia.org/wiki/German_submarine_U-13_(1935),1935-11-30,9,,"{'1st U-boat Flotilla': ['1 November 1935 ', ' 1 August 1939']}"
U-14,1935,IIB,"Victor Oehrn,Herbert Wohlfarth,Gerhard Bigalk,Hans Heidtmann",0,0,0,0,9,"12,344",0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-14_(1935),1936-01-18,6,,"{'3rd U-boat Flotilla': ['1 January 1936 ', ' 1 August 1939'], 'U-boat Training Flotilla': ['1 November 1939 ', ' 1 April 1940'], '1st U-boat Training Flotilla': ['1 May ', ' 30 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 31 December 1940'], '22nd U-boat Flotilla': ['1 January 1941 ', ' 3 March 1945']}"
U-15,1936,IIB,,0,0,0,0,3,"4,532",0,0,0,0,Sunk,30 January 1940,Rammed by accident,https://en.wikipedia.org/wiki/German_submarine_U-15_(1936),1936-03-07,5,,"{'1st U-boat Flotilla': ['1 March 1936 ', ' 1 August 1939']}"
U-16,1936,IIB,,1,57,0,0,1,"3,378",0,0,0,0,Sunk,25 October 1939,Run aground,https://en.wikipedia.org/wiki/German_submarine_U-16_(1936),1936-05-16,3,,"{'3rd U-boat Flotilla': ['1 May 1936', ' 1 August 1939']}"
U-17,1935,IIB,,0,0,0,0,3,"1,825",0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-17_(1935),1935-12-03,4,,"{'1st U-boat Flotilla': ['1 December 1935 ', ' 1 August 1939'], 'U-boat Training Flotilla': ['1 November 1939 ', ' 30 April 1940'], '22nd U-boat Flotilla': ['1 March 1943 ', ' 6 February 1945']}"
U-18,1935,IIB,"Ernst Mengersen,Karl Fleige",1,400,1,56,2,"1,500",1,"7,745",0,0,Scuttled,25 August 1944,Damaged by Soviet air raid,https://en.wikipedia.org/wiki/German_submarine_U-18_(1935),1936-01-04,14,,"{'1st U-boat Flotilla': ['4 January ', ' 20 November 1936'], '3rd U-boat Flotilla': ['30 September 1937 ', ' 1 August 1939'], 'U-boat Training Flotilla': ['1 November 1939 ', ' 1 March 1940'], '1st U-boat Training Flotilla': ['1 April 1939 ', ' 1 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 17 December 1940'], '22nd U-boat Flotilla': ['18 December 1940 ', ' 18 August 1942'], '30th U-boat Flotilla': ['6 May 1943 ', ' 25 August 1944']}"
U-19,1935,IIB,"Viktor Schütze,Joachim Schepke",1,441,0,0,14,"35,430",0,0,0,0,Scuttled,11 September 1944,,https://en.wikipedia.org/wiki/German_submarine_U-19_(1935),1936-01-16,20,,"{'1st U-boat Flotilla': ['1 January 1936', ' 1 August 1939'], '1st U-boat Training Flotilla': ['1 May ', ' 30 June 1940'], '24th U-boat Flotilla': ['1 July ', ' 18 December 1940'], '22nd U-boat Flotilla': ['19 December 1940 ', ' 18 April 1942'], '30th U-boat Flotilla': ['28 December 1942 ', ' 11 September 1944']}"
U-20,1936,IIB,Karl-Heinz Moehle,1,9,0,0,12,"30,058",1,"1,846",2,"8,446",Scuttled,10 September 1944,,https://en.wikipedia.org/wiki/German_submarine_U-20_(1936),1936-02-01,16,,"{'3rd U-boat Flotilla': ['1 February ', ' 1 August 1939'], '1st U-boat Flotilla': ['1 January ', ' 30 April 1940'], '1st U-boat Training Flotilla': ['1 May ', ' 30 June 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 26 August 1942'], '30th U-boat Flotilla': ['27 May 1943 ', ' 10 September 1944']}"
U-21,1936,IIB,"Fritz Frauenheim,Hans-Heinrich Döhler",1,605,1,"11,500",5,"10,706",0,0,0,0,Scrapped,1 February 1945,Training boat,https://en.wikipedia.org/wiki/German_submarine_U-21_(1936),1936-08-03,7,,"{'1st U-boat Flotilla': ['1 August 1936 ', ' 1 August 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 5 August 1944']}"
U-22,1936,IIB,Werner Winter,3,"5,108",0,0,6,"7,344",0,0,0,0,Missing,27 March 1940,,https://en.wikipedia.org/wiki/German_submarine_U-22_(1936),1936-08-20,7,,"{'3rd U-boat Flotilla': ['1 August 1936 ', ' 1 August 1939'], '1st U-boat Flotilla': ['1 January ', ' 27 March 1940']}"
U-23,1936,IIB,Otto Kretschmer,2,"1,410",2,"1,061",7,"11,179",0,0,3,"18,199",Scuttled,10 September 1944,Prevent Soviet capture,https://en.wikipedia.org/wiki/German_submarine_U-23_(1936),1936-09-24,16,,"{'1st U-boat Flotilla': ['1 September 1936 ', ' 1 August 1939'], '21st U-boat Flotilla': ['1 July 1940 ', ' 26 Aug 1942'], '30th U-boat Flotilla': ['3 June 1943 ', ' 10 September 1944']}"
U-24,1936,IIB,,5,573,0,0,1,961,1,"7,661",1,"7,886",Scuttled,25 August 1944,,https://en.wikipedia.org/wiki/German_submarine_U-24_(1936),1936-10-10,19,,"{'3rd U-boat Flotilla': ['1 October 1936', ' 1 August 1939'], '1st U-boat Flotilla': ['18 October 1939 ', ' 30 April 1940'], '1st U-boat Training Flotilla': ['1 May ', ' 30 June 1940'], '21st U-boat Flotilla': ['1 July 1940 ', ' 18 April 1942'], '30th U-boat Flotilla': ['14 October 1942 ', ' 25 August 1944']}"
U-25,1936,IA,"Eberhard Godt,Viktor Schütze,Otto Schuhart",1,"17,046",0,0,7,"33,209",1,"7,638",0,0,Sunk,2 August 1940,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-25_(1936),1936-04-06,5,"{'Prien': ['12', '17 June 1940']}","{'2nd U-boat Flotilla': ['1 April 1936 ', ' 2 August 1940']}"
U-26,1936,IA,"Klaus Ewerth,Werner Hartmann",0,0,0,0,11,"48,645",1,"4,871",0,0,Scuttled,1 July 1940,Badly damaged by depth charges,https://en.wikipedia.org/wiki/German_submarine_U-26_(1936),1936-05-06,6,,"{'2nd U-boat Flotilla': ['1 May 1936 ', ' 1 August 1939']}"
U-27,1936,VIIA,Hans-Georg von Friedeburg,0,0,0,0,2,624,0,0,0,0,Sunk,20 September 1939,HMS Fortune and HMS Faulknor,https://en.wikipedia.org/wiki/German_submarine_U-27_(1936),1936-08-12,1,,"{'2nd U-boat Flotilla': ['12 August 1936 ', ' 20 September 1939']}"
U-28,1936,VIIA,"Fritz-Julius Lemp,Günter Kuhnke,Friedrich Guggenberger,Karl-Heinz Marbach",1,"4,443",0,0,11,"42,252",2,"10,067",1,"9,577",Scuttled,17 March 1944,Damaged in collision accident,https://en.wikipedia.org/wiki/German_submarine_U-28_(1936),1936-09-12,6,,"{'2nd U-boat Flotilla': ['12 September 1936 ', ' 9 November 1940'], '24th U-boat Flotilla': ['10 November 1940 ', ' 30 November 1943'], '22nd U-boat Flotilla': ['1 December 1943 ', ' 17 March 1944']}"
U-29,1936,VIIA,"Otto Schuhart,Georg Lassen,Karl-Heinz Marbach",1,"22,500",0,0,12,"67,277",0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-29_(1936),1936-11-16,7,"{'Rösing': ['12', '15 June 1940']}","{'2nd U-boat Flotilla': ['16 November 1936 ', ' 1 January 1941'], '24th U-boat Flotilla': ['2 January 1941 ', ' 30 June 1942'], '23rd U-boat Flotilla': ['1 September ', ' 30 November 1943'], '21st U-boat Flotilla': ['1 December 1943 ', ' 17 April 1944']}"
U-30,1936,VIIA,Fritz-Julius Lemp,1,325,1,"31,100",16,"86,165",1,"5,642",0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-30_(1936),1936-10-08,8,"{'Prien': ['15', '17 June 1940']}","{'2nd U-boat Flotilla': ['8 October 1936 ', ' 30 November 1940'], '24th U-boat Flotilla': ['1 December 1940 ', ' 30 November 1943'], '22nd U-boat Flotilla': ['1 December 1943 ', ' 12 January 1945']}"
U-31,1936,VIIA,,2,160,1,"33,950",11,"27,751",0,0,0,0,Sunk,2 November 1940,HMS Antelope,https://en.wikipedia.org/wiki/German_submarine_U-31_(1936),1936-12-28,7,,"{'2nd U-boat Flotilla': ['28 December 1936 ', ' 12 March 1940']}"
U-32,1937,VIIA,"Werner Lott,Hans Jenisch",0,0,1,"8,000",20,"116,836",4,"32,274",0,0,Sunk,30 October 1940,HMS Harvester & HMS Highlander,https://en.wikipedia.org/wiki/German_submarine_U-32_(1937),1937-04-15,9,"{'Prien': ['12', '17 June 1940']}","{'2nd U-boat Flotilla': ['15 April 1937 ', ' 30 October 1940']}"
U-33,1936,VIIA,,0,0,0,0,10,"19,261",0,0,1,"3,670",Sunk,12 February 1940,HMS Gleaner,https://en.wikipedia.org/wiki/German_submarine_U-33_(1936),1936-07-25,3,,"{'2nd U-boat Flotilla': ['25 July 1936 ', ' 12 February 1940']}"
U-34,1936,VIIA,"Wilhelm Rollmann,Horst-Arno Fenski",4,"3,290",0,0,19,"91,989",0,0,0,0,Sunk,5 August 1943,In collision,https://en.wikipedia.org/wiki/German_submarine_U-34_(1936),1936-09-12,7,,"{'2nd U-boat Flotilla': ['12 September 1936 ', ' 30 September 1940'], '21st U-boat Flotilla': ['1 October ', ' 1 November 1940'], '24th U-boat Flotilla': ['2 November 1940 ', ' 5 August 1943']}"
U-35,1936,VIIA,"Klaus Ewerth,Hans Rudolf Rösing,Otto Kretschmer,Werner Lott",0,0,0,0,4,"7,850",1,"6,014",0,0,Scuttled,29 November 1939,"HMS Kingston, HMS Icarus and HMS Kashmir",https://en.wikipedia.org/wiki/German_submarine_U-35_(1936),1936-11-03,3,,"{'2nd U-boat Flotilla': ['3 November 1936 ', ' 29 November 1939']}"
U-36,1936,VIIA,Klaus Ewerth,0,0,0,0,3,"4,181",0,0,0,0,Sunk,4 December 1939,HMS Salmon,https://en.wikipedia.org/wiki/German_submarine_U-36_(1936),1936-12-16,3,,"{'U-boat School Flotilla': ['16 December 1936 ', ' 1 August 1939'], '2nd U-boat Flotilla': ['1 September ', ' 4 December 1939']}"
U-37,1938,IXA,"Werner Hartmann,Victor Oehrn,Asmus Nicolai Clausen,Ulrich Folkers,Albert Lauzemis",2,"2,404",0,0,53,"200,063",1,"9,494",0,0,Scuttled,8 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-37_(1938),1938-08-04,11,,"{'6th U-boat Flotilla': ['1 April 1938 ', ' 31 December 1939'], '2nd U-boat Flotilla': ['1 January 1940 ', ' 30 April 1941'], '26th U-boat Flotilla': ['1 May 1941 ', ' 31 March 1942'], '22nd U-boat Flotilla': ['1 April 1942 ', ' 30 June 1944'], '4th U-boat Flotilla': ['1 July 1944 ', ' 5 May 1945']}"
U-38,1938,IXA,Heinrich Liebe,0,0,0,0,35,"188,967",1,"3,670",0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-38_(1938),1938-10-24,11,"{'Prien': ['12', '17 June 1940'], 'Grönland': ['10', '27 August 1941'], 'Markgraf': ['27 August', '3 September 1941'], 'Schlagetot': ['20 October', '1 November 1941'], 'Raubritter': ['1', '11 November 1941']}","{'6th U-boat Flotilla[1]': ['24 October 1938 ', ' 31 December 1939'], '2nd U-boat Flotilla': ['1 January 1940 ', ' 30 November 1941'], '24th U-boat Flotilla': ['1 December 1941 ', ' 31 March 1942'], '21st U-boat Flotilla': ['1 April 1942 ', ' 30 November 1943'], '4th U-boat Flotilla': ['1 December 1943 ', ' 28 February 1945'], '5th U-boat Flotilla': ['1 March ', ' 5 May 1945']}"
U-39,1938,IXA,,0,0,0,0,0,0,0,0,0,0,Sunk,14 September 1939,"HMS Faulknor, HMS Foxhound and HMS Firedrake",https://en.wikipedia.org/wiki/German_submarine_U-39_(1938),1938-12-10,1,,"{'6th U-boat Flotilla': ['10 December 1938 ', ' 14 September 1939']}"
U-40,1938,IXA,,0,0,0,0,0,0,0,0,0,0,Sunk,13 October 1939,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-40_(1938),1939-02-11,2,,"{'6th U-boat Flotilla': ['11 February ', ' 13 October 1939']}"
U-41,1939,IXA,,0,0,0,0,5,"22,815",1,"8,096",0,0,Sunk,5 February 1940,HMS Antelope,https://en.wikipedia.org/wiki/German_submarine_U-41_(1939),1939-04-22,3,,"{'6th U-boat Flotilla': ['22 April ', ' 31 December 1939'], '2nd U-boat Flotilla': ['1 January ', ' 5 February 1940']}"
U-42,1939,IXA,,0,0,0,0,1,"4,803",0,0,0,0,Sunk,13 October 1939,HMS Imogen and HMS Ilex,https://en.wikipedia.org/wiki/German_submarine_U-42_(1939),1939-07-15,1,,"{'6th U-boat Flotilla': ['15 July ', ' 13 October 1939']}"
U-43,1939,IXA,Wolfgang Lüth,0,0,0,0,21,"117,036",1,"10,350",1,"9,131",Sunk,30 July 1943,US Grumman Avenger aircraft,https://en.wikipedia.org/wiki/German_submarine_U-43_(1939),1939-08-26,14,"{'Rösing': ['12', '15 June 1940'], 'West': ['17 May', '16 June 1941'], 'Kurfürst': ['16', '20 June 1941'], 'Grönland': ['10', '27 August 1941'], 'Markgraf': ['27 August', '12 September 1941'], 'Steuben': ['14 November', '2 December 1941'], 'Wolf': ['13', '30 July 1942'], 'Pirat': ['31 July', '3 August 1942'], 'Rochen': ['27 January', '28 February 1943'], 'Tümmler': ['1', '19 March 1943']}","{'6th U-boat Flotilla': ['26 August ', ' 31 December 1939'], '2nd U-boat Flotilla': ['1 January 1940 ', ' 30 July 1943']}"
U-44,1939,IXA,,0,0,0,0,8,"30,885",0,0,0,0,Sunk,13 March 1940,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-44_(1939),1939-11-04,2,,"{'6th U-boat Flotilla': ['4 November ', ' 31 December 1939'], '2nd U-boat Flotilla': ['1 January ', ' 13 March 1940']}"
U-45,1938,VIIB,,0,0,0,0,2,"19,313",0,0,0,0,Sunk,14 October 1939,"HMS Inglefield, HMS Ivanhoe and HMS Intrepid",https://en.wikipedia.org/wiki/German_submarine_U-45_(1938),1938-06-25,2,,"{'7th U-boat Flotilla': ['25 June 1938 ', ' 14 October 1939']}"
U-46,1938,VIIB,Engelbert Endrass,2,"35,284",0,0,20,"85,792",4,"25,491",1,"2,080",Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-46_(1938),1938-11-02,13,"{'Rösing': ['12', '15 June 1940'], 'West': ['19 May', '6 June 1941']}","{'7th U-boat Flotilla': ['2 November 1938 ', ' 1 September 1941'], '26th U-boat Flotilla': ['2 September 1941 ', ' 31 March 1942'], '24th U-boat Flotilla': ['1 April ', ' 1 July 1942']}"
U-47,1938,VIIB,Günther Prien,1,"29,150",1,"10,035",30,"162,769",8,"62,751",0,0,Sunk,7 March 1941,HMS Wolverine,https://en.wikipedia.org/wiki/German_submarine_U-47_(1938),1938-12-17,10,"{'KM': ['KM'], 'GPX': ['secondary coordinates']}","{'7th U-boat Flotilla': ['17 December 1938 ', ' 7 March 1941[1]']}"
U-48,1939,VIIB,"Herbert Schultze,Hans-Rudolf Rösing,Heinrich Bleichrodt",1,"1,060",0,0,50,"299,477",4,"27,877",0,0,Scuttled,3 May 1945,The most successful U-boat,https://en.wikipedia.org/wiki/German_submarine_U-48_(1939),1939-04-22,12,"{'Rösing': ['12', '15 June 1940'], 'West': ['2', '8 June 1941']}","{'7th U-boat Flotilla': ['22 April 1939 ', ' 30 June 1941'], '26th U-boat Flotilla': ['1 July 1941 ', ' 31 March 1942'], '21st U-boat Flotilla': ['1 April 1942 -31 October 1943']}"
U-49,1939,VIIB,,0,0,0,0,1,"4,258",0,0,0,0,Sunk,15 April 1940,HMS Fearless and HMS Brazen,https://en.wikipedia.org/wiki/German_submarine_U-49_(1939),1939-08-12,4,,"{'7th U-boat Flotilla': ['12 August 1939 ', ' 15 April 1940']}"
U-50,1939,VIIB,,0,0,0,0,4,"16,089",0,0,0,0,Sunk,6 April 1940,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-50_(1939),1939-12-12,2,,"{'7th U-boat Flotilla': ['12 December 1939 ', ' 6 April 1940']}"
U-51,1938,VIIB,,1,"4,724",0,0,5,"26,296",0,0,0,0,Sunk,20 August 1940,HMS Cachalot,https://en.wikipedia.org/wiki/German_submarine_U-51_(1938),1938-08-06,4,"{'Prien': ['12', '17 June 1940']}","{'7th U-boat Flotilla': ['6 August 1938 ', ' 20 August 1940']}"
U-52,1939,VIIB,Helmut Möhlmann,0,0,0,0,13,"56,333",0,0,0,0,Sunk,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-52_(1938),1939-02-04,8,,"{'7th U-boat Flotilla': ['4 February 1939 ', ' 31 May 1941'], '26th U-boat Flotilla': ['1 June ', ' 31 March 1942'], '24th U-boat Flotilla': ['1 April 1942 ', ' 30 September 1943'], '23rd U-boat Flotilla': ['1 ', ' 22 October 1943']}"
U-53,1939,VIIB,Heinrich Schonder,0,0,0,0,7,"27,316",1,"8,022",0,0,Sunk,23 / 24 February 1940,HMS Gurkha,https://en.wikipedia.org/wiki/German_submarine_U-53_(1939),1939-06-24,3,,"{'7th U-boat Flotilla': ['24 June 1939 ', ' 23 / 24 February 1940']}"
U-54,1939,VIIB,,0,0,0,0,0,0,0,0,0,0,Sunk,13 February 1940,Struck a mine,https://en.wikipedia.org/wiki/German_submarine_U-54_(1939),1939-09-23,1,,"{'7th U-boat Flotilla': ['23 September ', ' 13 February 1940']}"
U-55,1939,VIIB,,0,0,0,0,6,"15,853",0,0,0,0,Sunk,30 January 1940,"HMS Whitshed, HMS Fowey, French destroyers Valmy, Guépard and RAF Sunderland",https://en.wikipedia.org/wiki/German_submarine_U-55_(1939),1939-11-21,1,,"{'7th U-boat Flotilla': ['21 November 1939 ', ' 30 January 1940']}"
U-56,1938,IIC,"Wilhelm Zahn,Walter Käding",1,"16,923",0,0,3,"8,860",1,"3,829",0,0,Scuttled,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-56_(1938),1938-11-26,12,,"{'5th U-boat Flotilla': ['26 November 1938 ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 31 October 1940'], '24th U-boat Flotilla': ['1 November ', ' 18 December 1940'], '22nd U-boat Flotilla': ['19 December 1940 ', ' 30 June 1944'], '19th U-boat Flotilla[1]': ['1 July 1944 ', ' 3 April 1945']}"
U-57,1938,IIC,"Erich Topp,Claus Korth",1,"8,240",0,0,11,"48,053",2,"10,403",1,"10,191",Scuttled,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-57_(1938),1938-12-29,11,,"{'5th U-boat Flotilla': ['29 December 1938 ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 3 September 1940'], '22nd U-boat Flotilla': ['11 January 1941 ', ' 30 June 1944'], '19th U-boat Flotilla[1]': ['1 July 1944 ', ' April 1945']}"
U-58,1938,IIC,"Herbert Kuppisch,Heinrich Schonder,Dietrich Schöneboom,Horst Hamm",1,"8,401",0,0,6,"16,148",0,0,0,0,Scuttled,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-58_(1938),1939-02-04,12,,"{'5th U-boat Flotilla': ['4 February ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 31 December 1940'], '22nd U-boat Flotilla': ['1 January 1941', ' 30 June 1944'], '19th U-boat Flotilla[1]': ['1 July 1944 ', ' April 1945']}"
U-59,1938,IIC,Siegfried von Forstner,2,864,0,0,17,"34,130",1,"8,009",1,"4,943",Scuttled,3 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-59_(1938),1939-03-04,13,,"{'5th U-boat Flotilla': ['4 March ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 31 December 1940'], '22nd U-boat Flotilla': ['1 January 1941 ', ' 30 June 1944'], '19th U-boat Flotilla': ['1 July 1944 ', ' April 1945']}"
U-60,1939,IIC,"Adalbert Schnee,Georg Schewe",0,0,0,0,3,"7,561",1,"15,434",0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-60_(1939),1939-07-22,9,,"{'5th U-boat Flotilla': ['22 July ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 18 November 1940'], '21st U-boat Flotilla[1]': ['19 November 1940 ', ' 28 February 1945']}"
U-61,1939,IIC,Jürgen Oesten,0,0,0,0,5,"19,668",1,"4,434",0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-61_(1939),1939-08-12,10,,"{'5th U-boat Flotilla': ['12 August ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 14 November 1940'], '21st U-boat Flotilla': ['15 November 1940 ', ' 27 March 1945']}"
U-62,1939,IIC,Waldemar Mehl,1,"1,350",0,0,1,"4,581",0,0,0,0,Scuttled,5 May 1945,,https://en.wikipedia.org/wiki/German_submarine_U-62_(1939),1939-12-21,5,,"{'5th U-boat Flotilla': ['21 ', ' 31 December 1939'], '1st U-boat Flotilla': ['1 January ', ' 30 September 1940'], '21st U-boat Flotilla[1]': ['1 October 1940 ', ' 20 March 1945']}"
U-63,1939,IIC,,0,0,0,0,1,"3,840",0,0,0,0,Sunk,25 February 1940,"HMS Imogen, HMS Escort, HMS Inglefield and HMS Narwhal",https://en.wikipedia.org/wiki/German_submarine_U-63_(1939),1940-01-18,1,,"{'1st U-boat Flotilla': ['18 January ', ' 25 February 1940']}"
U-64,1939,IXB,Georg-Wilhelm Schulz,0,0,0,0,0,0,0,0,0,0,Sunk,13 April 1940,RN Swordfish,https://en.wikipedia.org/wiki/German_submarine_U-64_(1939),1939-12-16,1,,"{'2nd U-boat Flotilla': ['16 December 1939 ', ' 13 April 1940']}"
